individual,name,id,age,SNPs
HRR051935,Yumin,Yumin,8415,876757
HRR051936,Bianbian,Bianbian,9545,701880
HRR051937,Boshan,BS,8320,1045084
HRR051938,Xiaojingshan,XJS1309_M7,7872,191653
HRR051939,Xiaojingshan,XJS1311_M16,7935,387603
HRR051940,Xiaojingshan,XJS1309_M4,7877,386648
HRR051941,Xiaogao,Xiaogao,8777,948953
HRR051942,Qihe,Qihe2,8428,328913
HRR051943,Liangdao,LD1,8320,843051
HRR051944,Liangdao,LD2,7590,744266
HRR051945,Suogang,SuogangB1,4800,48386
HRR051946,Suogang,gB3,4800,30050
HRR051947,Xitoucun,L5705,4419,434148
HRR051948,Xitoucun,L5700,4530,307394
HRR051949,Xitoucun,L5692,4530,16027
HRR051950,Xitoucun,L5706,4527,49141
HRR051951,Xitoucun,L5704,4580,47786
HRR051952,Xitoucun,L5703,4644,19114
HRR051953,Xitoucun,L5702,NA,9407
HRR051954,Xitoucun,L5701,4418,47608
HRR051955,Tanshishan,L7415,4419,338182
HRR051956,Tanshishan,L7417,4526,144349
HRR051957,Tanshishan,L7416,NA,8422
HRR051958,Tanshishan,L5698,4410,20920
HRR051959,Tanshishan,L5696,NA,20107
HRR051960,Chuanyun,L5694,334,322808
